[TRACE][2021/12/06 15:36:38:760][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 83/999
[TRACE][2021/12/06 15:36:38:847][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 84/999
[TRACE][2021/12/06 15:36:38:934][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 85/999
[TRACE][2021/12/06 15:36:39:020][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 86/999
[TRACE][2021/12/06 15:36:39:107][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 87/999
[TRACE][2021/12/06 15:36:39:193][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 88/999
[TRACE][2021/12/06 15:36:39:280][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 89/999
[TRACE][2021/12/06 15:36:39:366][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 90/999
[TRACE][2021/12/06 15:36:39:453][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 91/999
[TRACE][2021/12/06 15:36:39:539][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 92/999
[TRACE][2021/12/06 15:36:39:626][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 93/999
[TRACE][2021/12/06 15:36:39:712][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 94/999
[TRACE][2021/12/06 15:36:39:799][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 95/999
[TRACE][2021/12/06 15:36:39:886][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 96/999
[TRACE][2021/12/06 15:36:39:972][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 97/999
[TRACE][2021/12/06 15:36:40:059][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 98/999
[TRACE][2021/12/06 15:36:40:145][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 99/999
[TRACE][2021/12/06 15:36:40:232][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:161] done with epoch cycle 1, beginning growth update
[TRACE][2021/12/06 15:36:42:391][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:148] Performing epoch number: 2
[TRACE][2021/12/06 15:36:42:391][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 100/999
[TRACE][2021/12/06 15:36:42:475][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 101/999
[TRACE][2021/12/06 15:36:42:562][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 102/999
[TRACE][2021/12/06 15:36:42:648][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 103/999
[TRACE][2021/12/06 15:36:42:735][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 104/999
[TRACE][2021/12/06 15:36:42:821][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 105/999
[TRACE][2021/12/06 15:36:42:908][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 106/999
[TRACE][2021/12/06 15:36:42:994][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 107/999
[TRACE][2021/12/06 15:36:43:081][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 108/999
[TRACE][2021/12/06 15:36:43:168][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 109/999
[TRACE][2021/12/06 15:36:43:254][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 110/999
[TRACE][2021/12/06 15:36:43:346][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 111/999
[TRACE][2021/12/06 15:36:43:433][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 112/999
[TRACE][2021/12/06 15:36:43:519][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 113/999
[TRACE][2021/12/06 15:36:43:605][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 114/999
